Variable Name,Data Type,Response Type,Levels (if applicable),Description,Data Cleaning Instructions
matrix_6,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 6,retain; correct answer ==
matrix_6_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 6 page,retain
matrix_6_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 6 page,retain
matrix_6_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 6 page,retain
matrix_6_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 6 page,retain
matrix_7,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 7,retain; correct answer ==
matrix_7_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 7 page,retain
matrix_7_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 7 page,retain
matrix_7_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 7 page,retain
matrix_7_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 7 page,retain
matrix_8,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 8,retain; correct answer ==
matrix_8_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 8 page,retain
matrix_8_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 8 page,retain
matrix_8_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 8 page,retain
matrix_8_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 8 page,retain
matrix_9,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 9,retain; correct answer ==
matrix_9_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 9 page,retain
matrix_9_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 9 page,retain
matrix_9_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 9 page,retain
matrix_9_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 9 page,retain
matrix_10,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 10,retain; correct answer ==
matrix_10_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 10 page,retain
matrix_10_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 10 page,retain
matrix_10_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 10 page,retain
matrix_10_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 10 page,retain
matrix_11,integer,discrete choice,1 = A; 2 = B; 3 = C; 4 = D; 5 = E; 6 = F,Participant's choice on Matrix Reasoning problem 11,retain; correct answer ==
matrix_11_time_1,numeric,metadata,,Seconds elapsed before first click on Matrix Reasoning problem 11 page,retain
matrix_11_time_2,numeric,metadata,,Seconds elapsed before final click on Matrix Reasoning problem 11 page,retain
matrix_11_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Matrix Reasoning problem 11 page,retain
matrix_11_time_4,integer,metadata,,Total number of clicks while viewing Matrix Reasoning problem 11 page,retain
numSeq_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for Dieckmann Number Sequence task,delete
numSeq_1,numeric,text entry (num only),,Participant's response to Number Sequence problem 1,retain; correct answer == 64
numSeq_1_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 1 page,retain
numSeq_1_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 1 page,retain
numSeq_1_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 1 page,retain
numSeq_1_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 1 page,retain
numSeq_2,numeric,text entry (num only),,Participant's response to Number Sequence problem 2,retain; correct answer == -2
numSeq_2_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 2 page,retain
numSeq_2_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 2 page,retain
numSeq_2_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 2 page,retain
numSeq_2_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 2 page,retain
numSeq_3,numeric,text entry (num only),,Participant's response to Number Sequence problem 3,retain; correct answer == 30
numSeq_3_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 3 page,retain
numSeq_3_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 3 page,retain
numSeq_3_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 3 page,retain
numSeq_3_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 3 page,retain
numSeq_4,numeric,text entry (num only),,Participant's response to Number Sequence problem 4,retain; correct answer == 28
numSeq_4_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 4 page,retain
numSeq_4_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 4 page,retain
numSeq_4_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 4 page,retain
numSeq_4_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 4 page,retain
numSeq_5,numeric,text entry (num only),,Participant's response to Number Sequence problem 5,retain; correct answer == 64
numSeq_5_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 5 page,retain
numSeq_5_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 5 page,retain
numSeq_5_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 5 page,retain
numSeq_5_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 5 page,retain
numSeq_6,numeric,text entry (num only),,Participant's response to Number Sequence problem 6,retain; correct answer == 29
numSeq_6_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 6 page,retain
numSeq_6_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 6 page,retain
numSeq_6_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 6 page,retain
numSeq_6_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 6 page,retain
numSeq_7,string,text entry (unrestricted),,Participant's response to Number Sequence problem 7,"retain; correct answer == ""8/16"""
numSeq_7_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 7 page,retain
numSeq_7_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 7 page,retain
numSeq_7_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 7 page,retain
numSeq_7_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 7 page,retain
numSeq_8,numeric,text entry (num only),,Participant's response to Number Sequence problem 8,retain; correct answer == 120
numSeq_8_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 8 page,retain
numSeq_8_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 8 page,retain
numSeq_8_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 8 page,retain
numSeq_8_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 8 page,retain
numSeq_9,numeric,text entry (num only),,Participant's response to Number Sequence problem 9,retain; correct answer == 43
numSeq_9_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 9 page,retain
numSeq_9_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 9 page,retain
numSeq_9_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 9 page,retain
numSeq_9_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 9 page,retain
numSeq_10,numeric,text entry (num only),,Participant's response to Number Sequence problem 10,retain; correct answer == 8900
numSeq_10_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 10 page,retain
numSeq_10_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 10 page,retain
numSeq_10_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 10 page,retain
numSeq_10_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 10 page,retain
numSeq_11,numeric,text entry (num only),,Participant's response to Number Sequence problem 11,retain; correct answer == 17
numSeq_11_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 11 page,retain
numSeq_11_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 11 page,retain
numSeq_11_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 11 page,retain
numSeq_11_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 11 page,retain
numSeq_12,string,text entry (unrestricted),,Participant's response to Number Sequence problem 12,"retain; correct answer == ""12/16"""
numSeq_12_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 12 page,retain
numSeq_12_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 12 page,retain
numSeq_12_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 12 page,retain
numSeq_12_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 12 page,retain
numSeq_13,numeric,text entry (num only),,Participant's response to Number Sequence problem 13,retain; correct answer == 12
numSeq_13_time_1,numeric,metadata,,Seconds elapsed before first click on Number Sequence problem 13 page,retain
numSeq_13_time_2,numeric,metadata,,Seconds elapsed before final click on Number Sequence problem 13 page,retain
numSeq_13_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Number Sequence problem 13 page,retain
numSeq_13_time_4,integer,metadata,,Total number of clicks while viewing Number Sequence problem 13 page,retain
letterSeq_inst,integer,missing/non-missing,1 = question displayed; missing = question not displayed,Descriptive text providing instructions for Dieckmann Letter Sequence task,delete
letterSeq_1,numeric,text entry (char only),,Participant's response to Letter Sequence problem 1,"retain; correct answer == ""K"""
letterSeq_1_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 1 page,retain
letterSeq_1_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 1 page,retain
letterSeq_1_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 1 page,retain
letterSeq_1_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 1 page,retain
letterSeq_2,numeric,text entry (char only),,Participant's response to Letter Sequence problem 2,"retain; correct answer == ""G"""
letterSeq_2_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 2 page,retain
letterSeq_2_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 2 page,retain
letterSeq_2_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 2 page,retain
letterSeq_2_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 2 page,retain
letterSeq_3,numeric,text entry (char only),,Participant's response to Letter Sequence problem 3,"retain; correct answer == ""J"""
letterSeq_3_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 3 page,retain
letterSeq_3_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 3 page,retain
letterSeq_3_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 3 page,retain
letterSeq_3_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 3 page,retain
letterSeq_4,numeric,text entry (char only),,Participant's response to Letter Sequence problem 4,"retain; correct answer == ""C"""
letterSeq_4_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 4 page,retain
letterSeq_4_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 4 page,retain
letterSeq_4_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 4 page,retain
letterSeq_4_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 4 page,retain
letterSeq_5,numeric,text entry (char only),,Participant's response to Letter Sequence problem 5,"retain; correct answer == ""Y"""
letterSeq_5_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 5 page,retain
letterSeq_5_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 5 page,retain
letterSeq_5_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 5 page,retain
letterSeq_5_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 5 page,retain
letterSeq_6,numeric,text entry (char only),,Participant's response to Letter Sequence problem 6,"retain; correct answer == ""S"""
letterSeq_6_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 6 page,retain
letterSeq_6_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 6 page,retain
letterSeq_6_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 6 page,retain
letterSeq_6_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 6 page,retain
letterSeq_7,numeric,text entry (char only),,Participant's response to Letter Sequence problem 7,"retain; correct answer == ""O"""
letterSeq_7_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 7 page,retain
letterSeq_7_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 7 page,retain
letterSeq_7_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 7 page,retain
letterSeq_7_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 7 page,retain
letterSeq_8,numeric,text entry (char only),,Participant's response to Letter Sequence problem 8,"retain; correct answer == ""H"""
letterSeq_8_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 8 page,retain
letterSeq_8_time_2,numeric,metadata,,Seconds elapsed before final click on Letter Sequence problem 8 page,retain
letterSeq_8_time_3,numeric,metadata,,Total number of seconds elapsed while viewing Letter Sequence problem 8 page,retain
letterSeq_8_time_4,integer,metadata,,Total number of clicks while viewing Letter Sequence problem 8 page,retain
letterSeq_9,numeric,text entry (char only),,Participant's response to Letter Sequence problem 9,"retain; correct answer == ""S"""
letterSeq_9_time_1,numeric,metadata,,Seconds elapsed before first click on Letter Sequence problem 9 page,retain
